,title,release_date,revenue,production_companies,company_nominated,revenue_M
487,Armageddon Time,2022-10-28,6100000,RT Features,1,6.1
488,Final Cut,2022-05-18,2046233,Wild Bunch,0,2.046233
489,Whitney Houston: I Wanna Dance with Somebody,2022-12-20,41000000,Compelling Pictures,0,41.0
494,Shut In,2022-03-24,304106,Bonfire Legend,0,0.304106
498,The Requin,2022-01-28,130493,Film Bridge International,0,0.130493
505,Redeeming Love,2022-01-21,9100000,Mission Pictures International,1,9.1
507,The Son,2022-11-10,3564844,Film4 Productions,1,3.564844
515,Vengeance,2022-07-29,4225720,Blumhouse Productions,1,4.22572
525,The Bob's Burgers Movie,2022-05-26,34148750,20th Century Studios,0,34.14875
530,Mad God,2022-06-16,322619,Tippett Studio,0,0.322619
531,Monstrous,2022-05-13,138450,Burning Sky Films,0,0.13845
533,Paws of Fury: The Legend of Hank,2022-07-14,42500000,Flying Tigers Entertainment,1,42.5
535,Last Looks,2022-01-27,365644,Romulus Entertainment,0,0.365644
537,The Stranger,2022-10-06,149441,Anonymous Content,0,0.149441
538,Umma,2022-03-18,2118582,Raimi Productions,0,2.118582
557,Till,2022-10-14,8900000,Frederick Zollo Productions,0,8.9
563,Studio 666,2022-02-24,3000776,Roswell Films,0,3.000776
565,Infinite Storm,2022-03-25,1564696,Maven Screen Media,0,1.564696
577,"Confess, Fletch",2022-09-16,500000,Miramax,0,0.5
580,Monster High: The Movie,2022-10-06,5000,Mattel Television,0,0.005
586,Clerks III,2022-09-04,4717597,View Askew Productions,0,4.717597
593,Deadstream,2022-10-20,1031519,Winterspectre Entertainment,0,1.031519
604,Moonage Daydream,2022-09-15,10680627,BMG,0,10.680627
609,Fortress: Sniper's Eye,2022-04-29,69075,EFO Films,0,0.069075
612,Dead for a Dollar,2022-09-30,81403,Chaos,0,0.081403
614,"Alice, Darling",2022-12-30,121067,Babe Nation Films,0,0.121067
622,To Leslie,2022-10-07,27322,BCDF Pictures,0,0.027322
628,One Way,2022-09-02,30272,Highland Film Group,0,0.030272
637,The Good Neighbor,2022-06-17,94909,Forma Pro Films,0,0.094909
